URL,Status,Title,Meta Description,H1,H2,Canonical,Schema (Y/N),Internal In,Internal Out,Images+Alt
/,200,"LexAtlas - Your Global Legal Compass","Expert-built, country-specific PDF guides to handle international legal procedures with clarity and confidence.","Cross-Border Marriage Kits, Done Right.","Choose Your Country Pair",/,Y,0,8,"logo/lexatlas-transparent.svg - LexAtlas logo"
/kits,200,"LexAtlas Kits – Cross-Border Marriage Kits by Country Pair","Explore ready-to-use legal kits for international marriages. Official sources, step-by-step guidance, instant download.","Find your cross-border marriage kit.","What's included in this sample",/kits,Y,8,10,"product-previews/*.png - Kit preview images"
/pricing,200,"LexAtlas Pricing – Cross-Border Marriage Kits","Choose the perfect marriage kit for your country pair. Individual kits or save with bundles. Instant download after purchase.","Choose Your Perfect Kit","Individual Kits",/pricing,Y,5,10,"logo/lexatlas.svg - LexAtlas logo"
/about,200,"About LexAtlas – Your Global Legal Compass for Cross-Border Marriage","LexAtlas creates trusted, step-by-step marriage kits for international couples. Clear guidance, official sources, and instant downloads.","Democratizing Access to International Legal Information","Our Mission",/about,Y,3,5,"logo/lexatlas.svg - LexAtlas logo"
/faq,200,"LexAtlas FAQ – Cross-Border Marriage Questions","Get answers to common questions about international marriage procedures, document requirements, and kit delivery. Expert guidance for your journey.","Frequently Asked Questions","What is a LexAtlas Kit?",/faq,Y,5,8,"product-previews/1.png - Sample kit preview"
/contact,200,"Contact LexAtlas – Expert Marriage Guidance","Need help with your international marriage? Contact our expert team for personalized guidance and support.","Contact Our Expert Team","Get in Touch",/contact,Y,3,5,"logo/lexatlas.svg - LexAtlas logo"
/kits/fra-usa,200,"France – USA Marriage Kit","Complete step-by-step guide for France – United States international marriage: requirements, documentation, and procedures.","France → USA Marriage Kit","What You'll Get in This Kit",/kits/fra-usa,Y,5,3,"flags/fr.svg - French flag, flags/us.svg - US flag"
/kits/fra-gbr,200,"France – UK Marriage Kit","Step-by-step guidance for France – United Kingdom marriages including documents, timelines, and official contacts.","France → GBR Marriage Kit","What You'll Get in This Kit",/kits/fra-gbr,Y,5,3,"flags/fr.svg - French flag, flags/gb.svg - UK flag"
/kits/fra-can,200,"France – Canada Marriage Kit","Everything you need for France – Canada international marriage: requirements, procedures, and documentation.","France → CAN Marriage Kit","What You'll Get in This Kit",/kits/fra-can,Y,5,3,"flags/fr.svg - French flag, flags/ca.svg - Canadian flag"
/kits/fra-mar,200,"France – Morocco Marriage Kit","Clear, verified steps for France – Morocco marriages, with document checklists and authority contacts.","France → MAR Marriage Kit","What You'll Get in This Kit",/kits/fra-mar,Y,5,3,"flags/fr.svg - French flag, flags/ma.svg - Moroccan flag"
/kits/fra-deu,200,"France – Germany Marriage Kit","A precise France – Germany guide with requirements, timelines, and practical tips to avoid common pitfalls.","France → DEU Marriage Kit","What You'll Get in This Kit",/kits/fra-deu,Y,5,3,"flags/fr.svg - French flag, flags/de.svg - German flag"
/kits/fra-che,200,"France – Switzerland Marriage Kit","France – Switzerland international marriage kit covering documents, legalization, and step-by-step process.","France → CHE Marriage Kit","What You'll Get in This Kit",/kits/fra-che,Y,5,3,"flags/fr.svg - French flag, flags/ch.svg - Swiss flag"
/kits/fra-bel,200,"France – Belgium Marriage Kit","France – Belgium marriage procedures made clear: requirements, checklists, and official contacts.","France → BEL Marriage Kit","What You'll Get in This Kit",/kits/fra-bel,Y,5,3,"flags/fr.svg - French flag, flags/be.svg - Belgian flag"
/kits/fra-esp,200,"France – Spain Marriage Kit","Detailed steps for France – Spain international marriage, including timelines and authority contacts.","France → ESP Marriage Kit","What You'll Get in This Kit",/kits/fra-esp,Y,5,3,"flags/fr.svg - French flag, flags/es.svg - Spanish flag"
/kits/fra-ita,200,"France – Italy Marriage Kit","France – Italy kit: documents, legalization, and step-by-step workflow with practical guidance.","France → ITA Marriage Kit","What You'll Get in This Kit",/kits/fra-ita,Y,5,3,"flags/fr.svg - French flag, flags/it.svg - Italian flag"
/kits/fra-prt,200,"France – Portugal Marriage Kit","France – Portugal marriage procedures with up-to-date requirements and practical tips.","France → PRT Marriage Kit","What You'll Get in This Kit",/kits/fra-prt,Y,5,3,"flags/fr.svg - French flag, flags/pt.svg - Portuguese flag"
